word,DF,IDF,Mean_TF,Mean_TF-IDF
but,28,4.957516668678487,0.03218390804597701,0.0057298039766247215
dont,24,5.1799090900149345,0.028735632183908046,0.005707378448999247
who,25,5.121015400961366,0.03103448275862069,0.005522992235064776
love,20,5.442943495848728,0.02528735632183908,0.005504990159971999
via,19,5.516944077292505,0.021839080459770115,0.005348621762737536
go,21,5.372554167957331,0.02413793103448276,0.005339604663190304
or,22,5.305439972098793,0.027586206896551724,0.00529114011374354
now,23,5.241309634679078,0.026436781609195402,0.00527148649333237
no,23,5.241309634679078,0.028735632183908046,0.005244477706693809
an,25,5.121015400961366,0.029885057471264367,0.005195752542488802
when,22,5.305439972098793,0.02528735632183908,0.005001323831239053
good,22,5.305439972098793,0.026436781609195402,0.004902902576336842
our,19,5.516944077292505,0.021839080459770115,0.004831281599147426
hatchimals,12,6.1799090900149345,0.016091954022988506,0.004685941839456851
see,19,5.516944077292505,0.022988505747126436,0.004636778259501125
thanksgiving,16,5.764871590736091,0.01839080459770115,0.004630112534506095
new,19,5.516944077292505,0.021839080459770115,0.0046077269071588735
really,16,5.764871590736091,0.01954022988505747,0.00445955463283484
would,18,5.594946589293778,0.020689655172413793,0.004449196795941677
thankyouobama,15,5.857980995127572,0.017241379310344827,0.004447711361943242
right,19,5.516944077292505,0.021839080459770115,0.00442957387592159
some,17,5.6774087494857515,0.020689655172413793,0.004414654399624642
fantasticbeasts,14,5.957516668678487,0.016091954022988506,0.004316023584158182
only,17,5.6774087494857515,0.01954022988505747,0.0043073913425674985
white,15,5.857980995127572,0.017241379310344827,0.004197527913275309
great,17,5.6774087494857515,0.01954022988505747,0.00416931051084671
president,15,5.857980995127572,0.01839080459770115,0.004147318834579532
over,15,5.857980995127572,0.01954022988505747,0.004099353915205124
obama,17,5.6774087494857515,0.020689655172413793,0.004070143039337189
than,16,5.764871590736091,0.01839080459770115,0.004060023756501683
bob,12,6.1799090900149345,0.013793103448275862,0.004055137604903177
think,16,5.764871590736091,0.01839080459770115,0.003978475237834191
security,15,5.857980995127572,0.017241379310344827,0.003944082756000302
their,16,5.764871590736091,0.01954022988505747,0.003912742154957909
here,16,5.764871590736091,0.01839080459770115,0.0038918872191611898
bannon,13,6.064431872594998,0.016091954022988506,0.003888491865447653
time,14,5.957516668678487,0.016091954022988506,0.003882835083157783
day,13,6.064431872594998,0.016091954022988506,0.0038748590533339592
young,14,5.957516668678487,0.016091954022988506,0.0038745621380423586
s,14,5.957516668678487,0.01839080459770115,0.003802536419637934
should,14,5.957516668678487,0.016091954022988506,0.003741522266921683
look,15,5.857980995127572,0.017241379310344827,0.0037324131066395197
minimum,13,6.064431872594998,0.016091954022988506,0.0037207037060840707
allen,12,6.1799090900149345,0.013793103448275862,0.0037014506870653428
grayson,12,6.1799090900149345,0.013793103448275862,0.0037014506870653428
her,14,5.957516668678487,0.016091954022988506,0.00368863570770668
need,14,5.957516668678487,0.016091954022988506,0.003678689183744409
thank,11,6.305439972098794,0.01264367816091954,0.0036668911420656026
going,14,5.957516668678487,0.017241379310344827,0.0036445898153235554
trumps,13,6.064431872594998,0.014942528735632184,0.0036365803256254046
do,15,5.857980995127572,0.017241379310344827,0.0036266947891103254
most,15,5.857980995127572,0.017241379310344827,0.003620393447830659
steve,13,6.064431872594998,0.014942528735632184,0.0036091970137341143
kim,13,6.064431872594998,0.014942528735632184,0.0035956077947474994
cabinet,10,6.442943495848729,0.011494252873563218,0.0035937809126846093
why,15,5.857980995127572,0.017241379310344827,0.0035901056098731963
did,12,6.1799090900149345,0.014942528735632184,0.0035877405067852113
dylan,9,6.594946589293779,0.010344827586206896,0.0035830200863889478
wage,12,6.1799090900149345,0.014942528735632184,0.0035217175358826726
were,14,5.957516668678487,0.016091954022988506,0.003473068701485864
blackfriday,11,6.305439972098794,0.01264367816091954,0.0034730666151363025
life,12,6.1799090900149345,0.014942528735632184,0.0034569908445703855
voter,10,6.442943495848729,0.014942528735632184,0.003449900494447093
speech,11,6.305439972098794,0.013793103448275862,0.003438956717409702
nbawards,11,6.305439972098794,0.01264367816091954,0.0034380296790432543
tesla,11,6.305439972098794,0.016091954022988506,0.003432975777519738
too,13,6.064431872594998,0.016091954022988506,0.003410913621958052
beautyandthebeast,11,6.305439972098794,0.01264367816091954,0.0033991222977728204
been,13,6.064431872594998,0.014942528735632184,0.003357239717096459
trumptransitionteam,11,6.305439972098794,0.01264367816091954,0.0033198533796679787
israel,12,6.1799090900149345,0.013793103448275862,0.003310731666416881
watching,13,6.064431872594998,0.014942528735632184,0.0033015300111295426
u,14,5.957516668678487,0.017241379310344827,0.0032743681090355095
them,13,6.064431872594998,0.016091954022988506,0.0032740476856596688
happy,10,6.442943495848729,0.011494252873563218,0.0032483841732022546
many,12,6.1799090900149345,0.013793103448275862,0.0032449657397052682
know,12,6.1799090900149345,0.014942528735632184,0.003242680688532375
latest,10,6.442943495848729,0.011494252873563218,0.0032401046942682216
vegetarianism,11,6.305439972098794,0.01264367816091954,0.003226596501412896
take,13,6.064431872594998,0.014942528735632184,0.0032005624229842103
black,10,6.442943495848729,0.01264367816091954,0.0031872125727676823
thisisus,10,6.442943495848729,0.011494252873563218,0.003150755577845511
back,12,6.1799090900149345,0.013793103448275862,0.0031195337473922096
god,11,6.305439972098794,0.01264367816091954,0.0031184897785050915
maga,9,6.594946589293779,0.010344827586206896,0.003100471778180282
news,12,6.1799090900149345,0.013793103448275862,0.0030816897934907474
where,12,6.1799090900149345,0.013793103448275862,0.0030780305995331625
supremacists,11,6.305439972098794,0.01264367816091954,0.003057505082095017
still,11,6.305439972098794,0.01264367816091954,0.003057007127941641
homeopathy,7,6.957516668678487,0.008045977011494253,0.0030479162420576425
fossil,12,6.1799090900149345,0.014942528735632184,0.003044676058437036
best,11,6.305439972098794,0.01264367816091954,0.003039026113795559
cuba,9,6.594946589293779,0.011494252873563218,0.0030224776475499602
